,Name,Radius,Mass,Distance
0,SDSS J000013.54+255418.6 [de],2004,0.99,T4.5
1,2MASS J00040288-6410358,,1.63,L1γ
2,LHS 102BC,2002,,L5
3,2MASS J00242463-0158201,,1.09,M9.5
4,2MASS J00250365+4759191AB,,,L4
5,2MASS J00274197+0503417,,1.44,M9.5β
6,2MASS J00275592+2219328,,,M8
7,2MASSW J0030300-145033,n/a,0.98,L7
8,2MASS J00332386-1521309 [de],n/a,1.43,L1-L4β
9,2MASS J00345157+0523050,n/a,0.94,T6.5
10,2MASS 0036+1821,2000,0.94,L3.5
11,2MASSW J0045214+163445,n/a,1.62,L2β
12,WISEP J004701.06+680352.1 [fr],n/a,1.3,L7.5p
13,2MASS J00501994-3322402 [de],n/a,0.94,T7
14,2MASS J00034227-2822410,n/a,,M7.5
15,2MASS J00584253-0651239 [de],n/a,1.43,L0β
16,CFBDS J005910.90–011401.3,2013,,T8.5
17,2MASSI J0103320+193536,,0.98,L6β
18,SDSSp J010752.33+004156.1 [de],,0.98,L8
19,2MASSI J0117474-340325 [de],,1.62,L2:
20,2MASS J01415823-4633574 [de],,1.61,L0γ
21,SDSS J015141.69+124429.6,,0.97,T1
22,DENIS-P J020529.0−115925A,1997,,L5.5
23,DENIS-P J020529.0−115925B,1997,,L8
24,DENIS-P J020529.0−115925C,1997,,T0
25,SDSS J020742.48+000056.2 [de],n/a,0.97,T4.5
26,2MASS J02103857-3015313,n/a,1.53,L0γ
27,2MASS J02340093-6442068,n/a,1.62,L0γ
28,2MASS J02411151-0326587 [de],n/a,1.41,L0γ
29,2MASS J02431371−2453298,2002,0.99,T6
30,LP 771-21,n/a,1.08,M8
31,2MASS J02511327+0047364,n/a,,M8
32,Teegarden's star,2003,1.27,M7
33,2MASS J02535980+3206373,n/a,1.9,M7β
34,WISE J0254+0223,n/a,1.9,T8
35,DEN 0255-4700,2006,0.97,L8
36,2MASS J03185403-3421292 [de],2008,0.97,L7
37,2MASS J03205965+1854233,n/a,1.15,M8
38,2MASS J03231002-4631237,n/a,1.66,L0γ
39,SDSS J032553.17+042540.1,n/a,0.95,T5.5
40,2MASS J03264225-2102057 [de],2003,1.3,L5γ
41,2MASS J03284265+2302051 [de],2000,0.98,L8
42,2MASS J03341218-4953322,n/a,1.04,M9
43,LP 944-20,n/a,1.43,M9β
